,description,quote_date,price,months_since_start,price_trend
115,HOME CARE ASSISTANT HRLY RATE,2014-09-01,14.0,0,13.474877915618052
116,HOME CARE ASSISTANT HRLY RATE,2014-10-01,14.0,30,13.543971654375621
117,HOME CARE ASSISTANT HRLY RATE,2014-11-01,14.0,61,13.615368517758442
118,HOME CARE ASSISTANT HRLY RATE,2014-12-01,14.0,91,13.684462256516012
119,HOME CARE ASSISTANT HRLY RATE,2015-01-01,14.0,122,13.755859119898833
120,HOME CARE ASSISTANT HRLY RATE,2015-02-01,14.0,153,13.827255983281654
121,HOME CARE ASSISTANT HRLY RATE,2015-03-01,14.0,181,13.891743472788718
122,HOME CARE ASSISTANT HRLY RATE,2015-04-01,14.0,212,13.96314033617154
123,HOME CARE ASSISTANT HRLY RATE,2015-05-01,14.4,242,14.032234074929109
124,HOME CARE ASSISTANT HRLY RATE,2015-06-01,14.5,273,14.10363093831193
125,HOME CARE ASSISTANT HRLY RATE,2015-07-01,14.5,303,14.1727246770695
126,HOME CARE ASSISTANT HRLY RATE,2015-08-01,14.495000000000001,334,14.244121540452321
127,HOME CARE ASSISTANT HRLY RATE,2015-09-01,14.445,365,14.315518403835142
128,HOME CARE ASSISTANT HRLY RATE,2015-10-01,14.55,395,14.384612142592712
129,HOME CARE ASSISTANT HRLY RATE,2015-11-01,14.55,426,14.456009005975533
130,HOME CARE ASSISTANT HRLY RATE,2015-12-01,14.55,456,14.5251027447331
131,HOME CARE ASSISTANT HRLY RATE,2016-01-01,14.55,487,14.596499608115922
132,HOME CARE ASSISTANT HRLY RATE,2016-02-01,14.535,518,14.667896471498743
133,HOME CARE ASSISTANT HRLY RATE,2016-03-01,14.5,547,14.73468708563106
134,HOME CARE ASSISTANT HRLY RATE,2016-04-01,14.725000000000001,578,14.806083949013882
135,HOME CARE ASSISTANT HRLY RATE,2016-05-01,14.8,608,14.875177687771451
136,HOME CARE ASSISTANT HRLY RATE,2016-06-01,15.0,639,14.946574551154272
137,HOME CARE ASSISTANT HRLY RATE,2016-07-01,15.2,669,15.015668289911842
138,HOME CARE ASSISTANT HRLY RATE,2016-08-01,15.4,700,15.087065153294663
139,HOME CARE ASSISTANT HRLY RATE,2016-09-01,15.4,731,15.158462016677484
140,HOME CARE ASSISTANT HRLY RATE,2016-10-01,15.415,761,15.227555755435052
141,HOME CARE ASSISTANT HRLY RATE,2016-11-01,15.415,792,15.298952618817875
142,HOME CARE ASSISTANT HRLY RATE,2016-12-01,15.43,822,15.368046357575443
143,HOME CARE ASSISTANT HRLY RATE,2017-01-01,15.45,853,15.439443220958264
144,HOME CARE ASSISTANT HRLY RATE,2017-02-01,15.5,884,15.510840084341087
145,HOME CARE ASSISTANT HRLY RATE,2017-03-01,15.5,912,15.575327573848151
146,HOME CARE ASSISTANT HRLY RATE,2017-04-01,15.555,943,15.646724437230972
147,HOME CARE ASSISTANT HRLY RATE,2017-05-01,15.75,973,15.715818175988542
148,HOME CARE ASSISTANT HRLY RATE,2017-06-01,15.74,1004,15.787215039371361
149,HOME CARE ASSISTANT HRLY RATE,2017-07-01,15.73,1034,15.85630877812893
150,HOME CARE ASSISTANT HRLY RATE,2017-08-01,16.0,1065,15.927705641511753
151,HOME CARE ASSISTANT HRLY RATE,2017-09-01,16.0,1096,15.999102504894573
152,HOME CARE ASSISTANT HRLY RATE,2017-10-01,16.0,1126,16.068196243652142
153,HOME CARE ASSISTANT HRLY RATE,2017-11-01,16.0,1157,16.139593107034965
154,HOME CARE ASSISTANT HRLY RATE,2017-12-01,16.0,1187,16.208686845792535
155,HOME CARE ASSISTANT HRLY RATE,2018-01-01,16.0,1218,16.280083709175354
156,HOME CARE ASSISTANT HRLY RATE,2018-02-01,16.0,1249,16.351480572558177
157,HOME CARE ASSISTANT HRLY RATE,2018-03-01,16.0,1277,16.41596806206524
158,HOME CARE ASSISTANT HRLY RATE,2018-04-01,16.0,1308,16.487364925448063
159,HOME CARE ASSISTANT HRLY RATE,2018-05-01,16.0,1338,16.556458664205632
160,HOME CARE ASSISTANT HRLY RATE,2018-06-01,16.154999500000002,1369,16.62785552758845
161,HOME CARE ASSISTANT HRLY RATE,2018-07-01,16.219999,1399,16.69694926634602
162,HOME CARE ASSISTANT HRLY RATE,2018-08-01,16.46,1430,16.76834612972884
163,HOME CARE ASSISTANT HRLY RATE,2018-09-01,16.46,1461,16.839742993111663
164,HOME CARE ASSISTANT HRLY RATE,2018-10-01,16.42,1491,16.908836731869233
165,HOME CARE ASSISTANT HRLY RATE,2018-11-01,16.65,1522,16.980233595252052
166,HOME CARE ASSISTANT HRLY RATE,2018-12-01,16.755000000000003,1552,17.04932733400962
167,HOME CARE ASSISTANT HRLY RATE,2019-01-01,16.76,1583,17.120724197392445
168,HOME CARE ASSISTANT HRLY RATE,2019-02-01,16.83,1614,17.192121060775264
169,HOME CARE ASSISTANT HRLY RATE,2019-03-01,16.76,1642,17.25660855028233
170,HOME CARE ASSISTANT HRLY RATE,2019-04-01,17.0,1673,17.328005413665153
171,HOME CARE ASSISTANT HRLY RATE,2019-05-01,17.0,1703,17.39709915242272
172,HOME CARE ASSISTANT HRLY RATE,2019-06-01,17.465,1734,17.468496015805542
173,HOME CARE ASSISTANT HRLY RATE,2019-07-01,17.415,1764,17.53758975456311
174,HOME CARE ASSISTANT HRLY RATE,2019-08-01,17.5,1795,17.60898661794593
175,HOME CARE ASSISTANT HRLY RATE,2019-09-01,17.58,1826,17.680383481328754
176,HOME CARE ASSISTANT HRLY RATE,2019-10-01,17.58,1856,17.749477220086323
177,HOME CARE ASSISTANT HRLY RATE,2019-11-01,17.66,1887,17.820874083469143
178,HOME CARE ASSISTANT HRLY RATE,2019-12-01,17.66,1917,17.889967822226712
179,HOME CARE ASSISTANT HRLY RATE,2020-01-01,17.66,1948,17.961364685609535
180,HOME CARE ASSISTANT HRLY RATE,2020-02-01,17.66,1979,18.032761548992355
181,HOME CARE ASSISTANT HRLY RATE,2020-03-01,17.66,2008,18.09955216312467
182,HOME CARE ASSISTANT HRLY RATE,2020-04-01,17.8050005,2039,18.170949026507493
183,HOME CARE ASSISTANT HRLY RATE,2020-05-01,17.9750005,2069,18.240042765265063
184,HOME CARE ASSISTANT HRLY RATE,2020-06-01,18.0,2100,18.311439628647882
185,HOME CARE ASSISTANT HRLY RATE,2020-07-01,18.0,2130,18.380533367405455
186,HOME CARE ASSISTANT HRLY RATE,2020-08-01,18.0,2161,18.451930230788275
187,HOME CARE ASSISTANT HRLY RATE,2020-09-01,18.0,2192,18.523327094171094
188,HOME CARE ASSISTANT HRLY RATE,2020-10-01,18.365001,2222,18.592420832928664
189,HOME CARE ASSISTANT HRLY RATE,2020-11-01,18.799999,2253,18.663817696311487
190,HOME CARE ASSISTANT HRLY RATE,2020-12-01,18.889999,2283,18.732911435069056
191,HOME CARE ASSISTANT HRLY RATE,2021-01-01,18.92,2314,18.804308298451875
192,HOME CARE ASSISTANT HRLY RATE,2021-02-01,19.0,2345,18.8757051618347
193,HOME CARE ASSISTANT HRLY RATE,2021-03-01,19.299999,2373,18.94019265134176
194,HOME CARE ASSISTANT HRLY RATE,2021-04-01,19.559999,2404,19.011589514724584
195,HOME CARE ASSISTANT HRLY RATE,2021-05-01,19.559999,2434,19.080683253482153
196,HOME CARE ASSISTANT HRLY RATE,2021-06-01,20.0,2465,19.152080116864973
197,HOME CARE ASSISTANT HRLY RATE,2021-07-01,20.0,2495,19.221173855622542
198,HOME CARE ASSISTANT HRLY RATE,2021-08-01,20.0,2526,19.292570719005365
199,HOME CARE ASSISTANT HRLY RATE,2021-09-01,20.0,2557,19.363967582388184
200,HOME CARE ASSISTANT HRLY RATE,2021-10-01,20.0,2587,19.433061321145754
201,HOME CARE ASSISTANT HRLY RATE,2021-11-01,20.0,2618,19.504458184528577
202,HOME CARE ASSISTANT HRLY RATE,2021-12-01,20.0,2648,19.573551923286146
203,HOME CARE ASSISTANT HRLY RATE,2022-01-01,20.0,2679,19.644948786668966
204,HOME CARE ASSISTANT HRLY RATE,2022-02-01,20.0,2710,19.71634565005179
205,HOME CARE ASSISTANT HRLY RATE,2022-03-01,20.0,2738,19.78083313955885
206,HOME CARE ASSISTANT HRLY RATE,2022-04-01,20.0,2769,19.852230002941674
207,HOME CARE ASSISTANT HRLY RATE,2022-05-01,20.309999,2799,19.921323741699243
208,HOME CARE ASSISTANT HRLY RATE,2022-06-01,21.175,2830,19.992720605082063
209,HOME CARE ASSISTANT HRLY RATE,2022-07-01,21.799999,2860,20.061814343839632
210,HOME CARE ASSISTANT HRLY RATE,2022-08-01,22.0,2891,20.133211207222455
211,HOME CARE ASSISTANT HRLY RATE,2022-09-01,22.0,2922,20.204608070605275
212,HOME CARE ASSISTANT HRLY RATE,2022-10-01,22.130000000000003,2952,20.273701809362844
213,HOME CARE ASSISTANT HRLY RATE,2022-11-01,22.0,2983,20.345098672745664
214,HOME CARE ASSISTANT HRLY RATE,2022-12-01,22.290001,3013,20.414192411503237
215,HOME CARE ASSISTANT HRLY RATE,2023-01-01,22.290001,3044,20.485589274886056
216,HOME CARE ASSISTANT HRLY RATE,2023-02-01,22.290001,3075,20.556986138268876
217,HOME CARE ASSISTANT HRLY RATE,2023-03-01,22.469999,3103,20.62147362777594
218,HOME CARE ASSISTANT HRLY RATE,2023-04-01,22.7650005,3134,20.692870491158764
219,HOME CARE ASSISTANT HRLY RATE,2023-05-01,23.0,3164,20.76196422991633
220,HOME CARE ASSISTANT HRLY RATE,2023-06-01,24.0,3195,20.833361093299153
221,HOME CARE ASSISTANT HRLY RATE,2023-07-01,24.0,3225,20.902454832056723
222,HOME CARE ASSISTANT HRLY RATE,2023-08-01,24.5,3256,20.973851695439542
223,HOME CARE ASSISTANT HRLY RATE,2023-09-01,24.5,3287,21.045248558822365
224,HOME CARE ASSISTANT HRLY RATE,2023-10-01,25.0,3317,21.114342297579935
225,HOME CARE ASSISTANT HRLY RATE,2023-11-01,25.0,3348,21.185739160962754
226,HOME CARE ASSISTANT HRLY RATE,2023-12-01,25.0,3378,21.254832899720324
227,HOME CARE ASSISTANT HRLY RATE,2024-01-01,25.0,3409,21.326229763103147
228,HOME CARE ASSISTANT HRLY RATE,2024-02-01,25.0,3440,21.397626626485966
229,HOME CARE ASSISTANT HRLY RATE,2024-03-01,25.0,3469,21.464417240618285
230,HOME CARE ASSISTANT HRLY RATE,2024-04-01,25.0,3500,21.535814104001105
231,HOME CARE ASSISTANT HRLY RATE,2024-05-01,25.0,3530,21.604907842758674
232,HOME CARE ASSISTANT HRLY RATE,2024-06-01,25.27,3561,21.676304706141494
233,HOME CARE ASSISTANT HRLY RATE,2024-07-01,25.5,3591,21.745398444899067
234,HOME CARE ASSISTANT HRLY RATE,2024-08-01,25.68,3622,21.816795308281886
235,HOME CARE ASSISTANT HRLY RATE,2024-09-01,25.870001,3653,21.888192171664706
387,NURSING HOME,2014-09-01,725.0,0,713.665254168566
388,NURSING HOME,2014-10-01,725.0,30,716.7851035848565
389,NURSING HOME,2014-11-01,733.70001,61,720.0089479816902
390,NURSING HOME,2014-12-01,729.350005,91,723.1287973979807
391,NURSING HOME,2015-01-01,739.350005,122,726.3526417948143
392,NURSING HOME,2015-02-01,726.5,153,729.5764861916479
393,NURSING HOME,2015-03-01,726.5,181,732.4883456468524
394,NURSING HOME,2015-04-01,739.350005,212,735.7121900436861
395,NURSING HOME,2015-05-01,750.0,242,738.8320394599766
396,NURSING HOME,2015-06-01,750.0,273,742.0558838568102
397,NURSING HOME,2015-07-01,750.0,303,745.1757332731008
398,NURSING HOME,2015-08-01,750.0,334,748.3995776699344
399,NURSING HOME,2015-09-01,750.0,365,751.623422066768
400,NURSING HOME,2015-10-01,750.0,395,754.7432714830585
401,NURSING HOME,2015-11-01,753.5,426,757.9671158798922
402,NURSING HOME,2015-12-01,750.0,456,761.0869652961827
403,NURSING HOME,2016-01-01,753.5,487,764.3108096930163
404,NURSING HOME,2016-02-01,760.0,518,767.5346540898499
405,NURSING HOME,2016-03-01,760.0,547,770.5505085255975
406,NURSING HOME,2016-04-01,767.5,578,773.774352922431
407,NURSING HOME,2016-05-01,762.5,608,776.8942023387216
408,NURSING HOME,2016-06-01,772.5,639,780.1180467355553
409,NURSING HOME,2016-07-01,772.5,669,783.2378961518458
410,NURSING HOME,2016-08-01,772.5,700,786.4617405486794
411,NURSING HOME,2016-09-01,772.5,731,789.6855849455129
412,NURSING HOME,2016-10-01,772.5,761,792.8054343618036
413,NURSING HOME,2016-11-01,780.0,792,796.0292787586371
414,NURSING HOME,2016-12-01,800.0,822,799.1491281749277
415,NURSING HOME,2017-01-01,800.0,853,802.3729725717612
416,NURSING HOME,2017-02-01,800.0,884,805.5968169685949
417,NURSING HOME,2017-03-01,800.0,912,808.5086764237994
418,NURSING HOME,2017-04-01,801.60999,943,811.732520820633
419,NURSING HOME,2017-05-01,807.699985,973,814.8523702369235
420,NURSING HOME,2017-06-01,810.01999,1004,818.0762146337572
421,NURSING HOME,2017-07-01,846.0,1034,821.1960640500478
422,NURSING HOME,2017-08-01,848.0,1065,824.4199084468813
423,NURSING HOME,2017-09-01,846.0,1096,827.643752843715
424,NURSING HOME,2017-10-01,848.0,1126,830.7636022600055
425,NURSING HOME,2017-11-01,846.0,1157,833.9874466568391
426,NURSING HOME,2017-12-01,850.0,1187,837.1072960731296
427,NURSING HOME,2018-01-01,850.0,1218,840.3311404699633
428,NURSING HOME,2018-02-01,850.0,1249,843.5549848667969
429,NURSING HOME,2018-03-01,850.0,1277,846.4668443220014
430,NURSING HOME,2018-04-01,850.0,1308,849.690688718835
431,NURSING HOME,2018-05-01,850.0,1338,852.8105381351256
432,NURSING HOME,2018-06-01,855.0,1369,856.0343825319592
433,NURSING HOME,2018-07-01,855.0,1399,859.1542319482497
434,NURSING HOME,2018-08-01,854.0799850000001,1430,862.3780763450834
435,NURSING HOME,2018-09-01,855.0,1461,865.601920741917
436,NURSING HOME,2018-10-01,855.0,1491,868.7217701582075
437,NURSING HOME,2018-11-01,855.0,1522,871.9456145550411
438,NURSING HOME,2018-12-01,855.0,1552,875.0654639713316
439,NURSING HOME,2019-01-01,860.0,1583,878.2893083681653
440,NURSING HOME,2019-02-01,860.0,1614,881.5131527649988
441,NURSING HOME,2019-03-01,875.0,1642,884.4250122202034
442,NURSING HOME,2019-04-01,896.505005,1673,887.6488566170369
443,NURSING HOME,2019-05-01,899.005005,1703,890.7687060333276
444,NURSING HOME,2019-06-01,900.0,1734,893.9925504301611
445,NURSING HOME,2019-07-01,900.0,1764,897.1123998464517
446,NURSING HOME,2019-08-01,900.0,1795,900.3362442432854
447,NURSING HOME,2019-09-01,900.0,1826,903.5600886401189
448,NURSING HOME,2019-10-01,908.32001,1856,906.6799380564095
449,NURSING HOME,2019-11-01,908.32001,1887,909.9037824532431
450,NURSING HOME,2019-12-01,927.35501,1917,913.0236318695337
451,NURSING HOME,2020-01-01,927.35501,1948,916.2474762663672
452,NURSING HOME,2020-02-01,935.21002,1979,919.4713206632008
453,NURSING HOME,2020-03-01,938.71002,2008,922.4871750989485
454,NURSING HOME,2020-04-01,950.0,2039,925.711019495782
455,NURSING HOME,2020-05-01,950.0,2069,928.8308689120726
456,NURSING HOME,2020-06-01,950.0,2100,932.0547133089061
457,NURSING HOME,2020-07-01,950.0,2130,935.1745627251967
458,NURSING HOME,2020-08-01,950.0,2161,938.3984071220303
459,NURSING HOME,2020-09-01,950.0,2192,941.6222515188639
460,NURSING HOME,2020-10-01,950.0,2222,944.7421009351544
461,NURSING HOME,2020-11-01,958.91998,2253,947.9659453319881
462,NURSING HOME,2020-12-01,958.91998,2283,951.0857947482787
463,NURSING HOME,2021-01-01,977.5,2314,954.3096391451122
464,NURSING HOME,2021-02-01,967.20001,2345,957.5334835419458
465,NURSING HOME,2021-03-01,971.70001,2373,960.4453429971504
466,NURSING HOME,2021-04-01,966.0,2404,963.669187393984
467,NURSING HOME,2021-05-01,966.0,2434,966.7890368102745
468,NURSING HOME,2021-06-01,985.0,2465,970.0128812071082
469,NURSING HOME,2021-07-01,985.0,2495,973.1327306233986
470,NURSING HOME,2021-08-01,975.0,2526,976.3565750202323
471,NURSING HOME,2021-09-01,975.5,2557,979.580419417066
472,NURSING HOME,2021-10-01,969.3299850000001,2587,982.7002688333564
473,NURSING HOME,2021-11-01,969.3299850000001,2618,985.9241132301901
474,NURSING HOME,2021-12-01,969.3299850000001,2648,989.0439626464806
475,NURSING HOME,2022-01-01,969.3299850000001,2679,992.2678070433142
476,NURSING HOME,2022-02-01,975.0,2710,995.4916514401478
477,NURSING HOME,2022-03-01,975.5,2738,998.4035108953524
478,NURSING HOME,2022-04-01,972.5,2769,1001.6273552921859
479,NURSING HOME,2022-05-01,1000.0,2799,1004.7472047084766
480,NURSING HOME,2022-06-01,1005.0,2830,1007.9710491053102
481,NURSING HOME,2022-07-01,1050.0,2860,1011.0908985216007
482,NURSING HOME,2022-08-01,1094.1899,2891,1014.3147429184343
483,NURSING HOME,2022-09-01,1095.0,2922,1017.5385873152679
484,NURSING HOME,2022-10-01,1135.0,2952,1020.6584367315584
485,NURSING HOME,2022-11-01,1167.0,2983,1023.882281128392
486,NURSING HOME,2022-12-01,1185.81,3013,1027.0021305446826
487,NURSING HOME,2023-01-01,1187.5,3044,1030.2259749415161
488,NURSING HOME,2023-02-01,1198.17,3075,1033.4498193383497
489,NURSING HOME,2023-03-01,1200.0,3103,1036.3616787935543
490,NURSING HOME,2023-04-01,1226.0,3134,1039.585523190388
491,NURSING HOME,2023-05-01,1226.40995,3164,1042.7053726066786
492,NURSING HOME,2023-06-01,1241.0,3195,1045.9292170035121
493,NURSING HOME,2023-07-01,1253.0,3225,1049.0490664198028
494,NURSING HOME,2023-08-01,1298.0,3256,1052.2729108166363
495,NURSING HOME,2023-09-01,1275.0,3287,1055.49675521347
496,NURSING HOME,2023-10-01,1299.0,3317,1058.6166046297603
497,NURSING HOME,2023-11-01,1300.0,3348,1061.840449026594
498,NURSING HOME,2023-12-01,1300.0,3378,1064.9602984428846
499,NURSING HOME,2024-01-01,1306.11,3409,1068.1841428397183
500,NURSING HOME,2024-02-01,1309.0,3440,1071.407987236552
501,NURSING HOME,2024-03-01,1312.44,3469,1074.4238416722992
502,NURSING HOME,2024-04-01,1320.0,3500,1077.647686069133
503,NURSING HOME,2024-05-01,1320.0,3530,1080.7675354854237
504,NURSING HOME,2024-06-01,1334.2649999999999,3561,1083.9913798822572
505,NURSING HOME,2024-07-01,1357.7199500000002,3591,1087.1112292985476
506,NURSING HOME,2024-08-01,1375.0,3622,1090.3350736953812
507,NURSING HOME,2024-09-01,1380.0,3653,1093.5589180922148
659,RESIDENTIAL HOME,2014-09-01,550.0,0,519.5840871031634
660,RESIDENTIAL HOME,2014-10-01,550.0,30,523.0721991674358
661,RESIDENTIAL HOME,2014-11-01,550.0,61,526.6765816338504
662,RESIDENTIAL HOME,2014-12-01,550.0,91,530.1646936981228
663,RESIDENTIAL HOME,2015-01-01,550.0,122,533.7690761645376
664,RESIDENTIAL HOME,2015-02-01,550.0,153,537.3734586309523
665,RESIDENTIAL HOME,2015-03-01,550.0,181,540.6290298909399
666,RESIDENTIAL HOME,2015-04-01,550.0,212,544.2334123573546
667,RESIDENTIAL HOME,2015-05-01,550.0,242,547.721524421627
668,RESIDENTIAL HOME,2015-06-01,550.0,273,551.3259068880418
669,RESIDENTIAL HOME,2015-07-01,550.81,303,554.8140189523141
670,RESIDENTIAL HOME,2015-08-01,550.81,334,558.4184014187289
671,RESIDENTIAL HOME,2015-09-01,560.0,365,562.0227838851437
672,RESIDENTIAL HOME,2015-10-01,562.5,395,565.5108959494161
673,RESIDENTIAL HOME,2015-11-01,570.0,426,569.1152784158307
674,RESIDENTIAL HOME,2015-12-01,570.5,456,572.6033904801031
675,RESIDENTIAL HOME,2016-01-01,575.5,487,576.2077729465179
676,RESIDENTIAL HOME,2016-02-01,580.0,518,579.8121554129326
677,RESIDENTIAL HOME,2016-03-01,580.0,547,583.1839970750626
678,RESIDENTIAL HOME,2016-04-01,580.0,578,586.7883795414774
679,RESIDENTIAL HOME,2016-05-01,580.0,608,590.2764916057497
680,RESIDENTIAL HOME,2016-06-01,585.0,639,593.8808740721645
681,RESIDENTIAL HOME,2016-07-01,600.0,669,597.3689861364369
682,RESIDENTIAL HOME,2016-08-01,600.0,700,600.9733686028516
683,RESIDENTIAL HOME,2016-09-01,600.0,731,604.5777510692664
684,RESIDENTIAL HOME,2016-10-01,600.0,761,608.0658631335388
685,RESIDENTIAL HOME,2016-11-01,614.655,792,611.6702455999534
686,RESIDENTIAL HOME,2016-12-01,614.655,822,615.1583576642258
687,RESIDENTIAL HOME,2017-01-01,614.655,853,618.7627401306406
688,RESIDENTIAL HOME,2017-02-01,609.31,884,622.3671225970554
689,RESIDENTIAL HOME,2017-03-01,620.0,912,625.6226938570429
690,RESIDENTIAL HOME,2017-04-01,622.5,943,629.2270763234576
691,RESIDENTIAL HOME,2017-05-01,630.0,973,632.71518838773
692,RESIDENTIAL HOME,2017-06-01,639.67499,1004,636.3195708541448
693,RESIDENTIAL HOME,2017-07-01,650.0,1034,639.8076829184172
694,RESIDENTIAL HOME,2017-08-01,650.0,1065,643.4120653848319
695,RESIDENTIAL HOME,2017-09-01,650.0,1096,647.0164478512467
696,RESIDENTIAL HOME,2017-10-01,650.0,1126,650.5045599155189
697,RESIDENTIAL HOME,2017-11-01,650.0,1157,654.1089423819337
698,RESIDENTIAL HOME,2017-12-01,651.0,1187,657.5970544462061
699,RESIDENTIAL HOME,2018-01-01,650.5,1218,661.2014369126209
700,RESIDENTIAL HOME,2018-02-01,651.0,1249,664.8058193790357
701,RESIDENTIAL HOME,2018-03-01,662.4599900000001,1277,668.0613906390232
702,RESIDENTIAL HOME,2018-04-01,664.91998,1308,671.6657731054379
703,RESIDENTIAL HOME,2018-05-01,660.0,1338,675.1538851697103
704,RESIDENTIAL HOME,2018-06-01,685.0,1369,678.7582676361251
705,RESIDENTIAL HOME,2018-07-01,689.72998,1399,682.2463797003975
706,RESIDENTIAL HOME,2018-08-01,695.0,1430,685.8507621668122
707,RESIDENTIAL HOME,2018-09-01,692.36499,1461,689.455144633227
708,RESIDENTIAL HOME,2018-10-01,692.36499,1491,692.9432566974992
709,RESIDENTIAL HOME,2018-11-01,695.695005,1522,696.547639163914
710,RESIDENTIAL HOME,2018-12-01,695.695005,1552,700.0357512281864
711,RESIDENTIAL HOME,2019-01-01,692.36499,1583,703.6401336946012
712,RESIDENTIAL HOME,2019-02-01,692.36499,1614,707.244516161016
713,RESIDENTIAL HOME,2019-03-01,695.0,1642,710.5000874210035
714,RESIDENTIAL HOME,2019-04-01,697.5,1673,714.1044698874182
715,RESIDENTIAL HOME,2019-05-01,697.37,1703,717.5925819516906
716,RESIDENTIAL HOME,2019-06-01,700.0,1734,721.1969644181054
717,RESIDENTIAL HOME,2019-07-01,714.07001,1764,724.6850764823778
718,RESIDENTIAL HOME,2019-08-01,731.94,1795,728.2894589487925
719,RESIDENTIAL HOME,2019-09-01,731.94,1826,731.8938414152072
720,RESIDENTIAL HOME,2019-10-01,735.0,1856,735.3819534794795
721,RESIDENTIAL HOME,2019-11-01,737.5,1887,738.9863359458943
722,RESIDENTIAL HOME,2019-12-01,737.5,1917,742.4744480101667
723,RESIDENTIAL HOME,2020-01-01,740.0,1948,746.0788304765815
724,RESIDENTIAL HOME,2020-02-01,737.5,1979,749.6832129429963
725,RESIDENTIAL HOME,2020-03-01,750.0,2008,753.0550546051262
726,RESIDENTIAL HOME,2020-04-01,740.0,2039,756.6594370715409
727,RESIDENTIAL HOME,2020-05-01,740.0,2069,760.1475491358133
728,RESIDENTIAL HOME,2020-06-01,740.0,2100,763.7519316022281
729,RESIDENTIAL HOME,2020-07-01,745.0,2130,767.2400436665005
730,RESIDENTIAL HOME,2020-08-01,750.0,2161,770.8444261329151
731,RESIDENTIAL HOME,2020-09-01,750.0,2192,774.4488085993299
732,RESIDENTIAL HOME,2020-10-01,770.5,2222,777.9369206636022
733,RESIDENTIAL HOME,2020-11-01,777.0,2253,781.541303130017
734,RESIDENTIAL HOME,2020-12-01,777.0,2283,785.0294151942894
735,RESIDENTIAL HOME,2021-01-01,797.375,2314,788.6337976607042
736,RESIDENTIAL HOME,2021-02-01,800.0,2345,792.238180127119
737,RESIDENTIAL HOME,2021-03-01,800.0,2373,795.4937513871065
738,RESIDENTIAL HOME,2021-04-01,800.0,2404,799.0981338535212
739,RESIDENTIAL HOME,2021-05-01,825.0,2434,802.5862459177936
740,RESIDENTIAL HOME,2021-06-01,850.0,2465,806.1906283842084
741,RESIDENTIAL HOME,2021-07-01,832.0,2495,809.6787404484808
742,RESIDENTIAL HOME,2021-08-01,844.5,2526,813.2831229148954
743,RESIDENTIAL HOME,2021-09-01,825.0,2557,816.8875053813102
744,RESIDENTIAL HOME,2021-10-01,825.0,2587,820.3756174455825
745,RESIDENTIAL HOME,2021-11-01,844.5,2618,823.9799999119973
746,RESIDENTIAL HOME,2021-12-01,844.5,2648,827.4681119762697
747,RESIDENTIAL HOME,2022-01-01,839.0,2679,831.0724944426845
748,RESIDENTIAL HOME,2022-02-01,850.0,2710,834.6768769090993
749,RESIDENTIAL HOME,2022-03-01,850.0,2738,837.9324481690867
750,RESIDENTIAL HOME,2022-04-01,860.0,2769,841.5368306355015
751,RESIDENTIAL HOME,2022-05-01,860.2049850000001,2799,845.0249426997739
752,RESIDENTIAL HOME,2022-06-01,861.2049850000001,2830,848.6293251661887
753,RESIDENTIAL HOME,2022-07-01,863.79999,2860,852.1174372304611
754,RESIDENTIAL HOME,2022-08-01,887.5,2891,855.7218196968757
755,RESIDENTIAL HOME,2022-09-01,900.0,2922,859.3262021632905
756,RESIDENTIAL HOME,2022-10-01,902.5,2952,862.8143142275628
757,RESIDENTIAL HOME,2022-11-01,948.97,2983,866.4186966939776
758,RESIDENTIAL HOME,2022-12-01,950.0,3013,869.90680875825
759,RESIDENTIAL HOME,2023-01-01,950.0,3044,873.5111912246648
760,RESIDENTIAL HOME,2023-02-01,985.0,3075,877.1155736910796
761,RESIDENTIAL HOME,2023-03-01,1000.0,3103,880.371144951067
762,RESIDENTIAL HOME,2023-04-01,1000.0,3134,883.9755274174818
763,RESIDENTIAL HOME,2023-05-01,1000.0,3164,887.4636394817542
764,RESIDENTIAL HOME,2023-06-01,1007.5,3195,891.068021948169
765,RESIDENTIAL HOME,2023-07-01,1050.0,3225,894.5561340124414
766,RESIDENTIAL HOME,2023-08-01,1050.0,3256,898.160516478856
767,RESIDENTIAL HOME,2023-09-01,1055.525,3287,901.7648989452708
768,RESIDENTIAL HOME,2023-10-01,1055.525,3317,905.2530110095431
769,RESIDENTIAL HOME,2023-11-01,1056.0,3348,908.8573934759579
770,RESIDENTIAL HOME,2023-12-01,1080.97,3378,912.3455055402303
771,RESIDENTIAL HOME,2024-01-01,1090.0,3409,915.9498880066451
772,RESIDENTIAL HOME,2024-02-01,1123.9050499999998,3440,919.5542704730599
773,RESIDENTIAL HOME,2024-03-01,1124.8101,3469,922.9261121351898
774,RESIDENTIAL HOME,2024-04-01,1150.0,3500,926.5304946016045
775,RESIDENTIAL HOME,2024-05-01,1137.5,3530,930.0186066658769
776,RESIDENTIAL HOME,2024-06-01,1156.27,3561,933.6229891322917
777,RESIDENTIAL HOME,2024-07-01,1170.0,3591,937.111101196564
778,RESIDENTIAL HOME,2024-08-01,1180.5,3622,940.7154836629788
779,RESIDENTIAL HOME,2024-09-01,1195.0,3653,944.3198661293935
